Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,CLTV,Charge per Tenure,Revenue Share,Service Count
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,3239,17.95,0.4534736842105263,2
0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,2701,23.566666666666666,0.5953684210526317,0
0,0,0,1,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,5372,11.072222222222223,0.8391578947368421,3
0,0,1,1,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,5003,3.613793103448276,0.8825263157894737,4
1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,5340,2.074,0.8732631578947369,4
0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,5925,5.0181818181818185,0.46484210526315795,2
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,5433,19.825,0.33389473684210524,2
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,4832,10.075,0.16968421052631577,0
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,5789,2.0697916666666667,0.8366315789473684,3
1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,2915,15.1,0.2543157894736842,1
0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,3022,3.5944444444444446,0.5448421052631579,2
1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,2454,11.616666666666667,0.5869473684210527,0
1,0,0,1,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,2941,3.0385714285714283,0.895578947368421,4
0,0,0,1,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,5674,8.154166666666667,0.824,3
0,0,0,1,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,5586,26.883333333333336,0.6791578947368422,1
0,0,0,1,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,2966,6.19375,0.8345263157894737,4
0,1,1,1,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,5302,8.961111111111112,0.6791578947368422,1
1,1,0,1,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,3179,5.023684210526316,0.8037894736842105,2
0,0,0,1,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,5571,9.440000000000001,0.7949473684210526,2
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,2483,39.675,0.6682105263157895,1
0,0,1,1,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,3457,9.39375,0.632842105263158,1
0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,5806,6.073076923076924,0.6648421052631579,1
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,2604,3.5083333333333333,0.17726315789473684,0
0,1,1,1,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,5337,3.7884615384615383,0.8294736842105264,4
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,5034,1.5942028985507246,0.9263157894736842,5
1,0,1,1,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,5154,1.7276785714285714,0.8147368421052632,3
0,1,1,1,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,2793,2.013157894736842,0.6442105263157895,0
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,5998,9.113636363636363,0.8442105263157895,3
1,0,0,1,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,4415,18.6,0.6265263157894737,0
0,1,0,1,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,4638,2.7875,0.6572631578947368,1
0,0,1,0,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,4190,2.253846153846154,0.49347368421052634,5
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45,2301,17.725,0.2985263157894737,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,2570,14.783333333333333,0.37347368421052635,0
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,3964,35.225,0.5932631578947368,0
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65,2662,7.905555555555556,0.5991578947368421,3
